mesh,kernel,distance,min_error,gamma_at_min
buddha,exp_inversion,0.5782939908573494,4.74,0.0039442060594376
buddha,spherical_flip,0.5782939908573494,4.72,0.0064280731172843
buddha,exp_inversion,1.156587981714699,5.5,0.0017475284000076
buddha,spherical_flip,1.156587981714699,5.35,0.0020565123083486
buddha,exp_inversion,2.313175963429398,6.79,0.0006579332246575
buddha,spherical_flip,2.313175963429398,6.84,0.0007742636826811
buddha,exp_inversion,5.7829399085734945,9.15,0.0002477076355991
buddha,spherical_flip,5.7829399085734945,9.07,0.0002915053062825
bunny,exp_inversion,1.2990764943727604,2.37,0.0024201282647943
bunny,spherical_flip,1.2990764943727604,2.45,0.0064280731172843
bunny,exp_inversion,12.990764943727605,3.03,0.0002104904144512
bunny,spherical_flip,12.990764943727605,3.1300000000000003,0.0002104904144512
bunny,exp_inversion,2.598152988745521,3.1199999999999997,0.0009111627561154
bunny,spherical_flip,2.598152988745521,3.16,0.001261856883066
bunny,exp_inversion,5.196305977491042,2.88,0.0005590810182512
bunny,spherical_flip,5.196305977491042,2.92,0.0005590810182512
dragon,exp_inversion,0.6513375276659898,5.970000000000001,0.0033516026509388
dragon,spherical_flip,0.6513375276659898,6.23,0.0145082877849594
dragon,exp_inversion,1.3026750553319797,6.84,0.0009111627561154
dragon,spherical_flip,1.3026750553319797,6.68,0.0014849682622544
dragon,exp_inversion,2.6053501106639594,5.96,0.0004037017258596
dragon,spherical_flip,2.6053501106639594,6.260000000000001,0.0004750810162102
dragon,exp_inversion,6.5133752766598985,6.47,0.0001291549665014
dragon,spherical_flip,6.5133752766598985,6.41,0.0001519911082952
erato,exp_inversion,21.5980666511647,7.31,0.0020565123083486
erato,spherical_flip,21.5980666511647,7.16,0.0039442060594376
erato,exp_inversion,215.980666511647,18.2,0.0009111627561154
erato,spherical_flip,215.980666511647,18.39,0.0009111627561154
erato,exp_inversion,43.1961333023294,7.79,0.0010722672220103
erato,spherical_flip,43.1961333023294,7.779999999999999,0.0017475284000076
erato,exp_inversion,86.3922666046588,9.6,0.0004750810162102
erato,spherical_flip,86.3922666046588,9.3,0.0007742636826811
hairball,exp_inversion,15.914933805692135,6.619999999999999,1.0
hairball,spherical_flip,15.914933805692135,6.529999999999999,0.1204503540258781
hairball,exp_inversion,31.82986761138427,7.64,0.0739072203352577
hairball,spherical_flip,31.82986761138427,7.17,0.023644894126454
hairball,exp_inversion,7.957466902846067,4.36,0.3199267137797384
hairball,spherical_flip,7.957466902846067,4.3999999999999995,1.0
hairball,exp_inversion,79.57466902846068,7.41,0.1023531021899024
hairball,spherical_flip,79.57466902846068,7.76,0.0104761575278966
